station,year,hours_present,day_mean,day_min,day_max,airTemp_Avg_mean,airTemp_Avg_min,airTemp_Avg_max,rh_mean,rh_min,rh_max,parDen_Avg_mean,parDen_Avg_min,parDen_Avg_max,swRadIn_Avg_mean,swRadIn_Avg_min,swRadIn_Avg_max,windSpd_Avg_mean,windSpd_Avg_min,windSpd_Avg_max,windSpd_Min_mean,windSpd_Min_min,windSpd_Min_max,windSpd_Max_mean,windSpd_Max_min,windSpd_Max_max,windDir_mean,windDir_min,windDir_max,dewPt_Avg_mean,dewPt_Avg_min,dewPt_Avg_max,vPress_mean,vPress_min,vPress_max,vPressSat_mean,vPressSat_min,vPressSat_max,bPress_Avg_mean,bPress_Avg_min,bPress_Avg_max,airTemp_Min_mean,airTemp_Min_min,airTemp_Min_max,airTemp_Max_mean,airTemp_Max_min,airTemp_Max_max,precip_mm_year,hours_with_precip,expected_hours,coverage,quality_flag
BLBT,2024,3851,16.4,1,31,15.9,-10.8,37.3,45.8,9.6,100,436.3,0,2109.7,219.7,-12.1,1042.7,2.8,0.1,15.2,1.8,0,11.5,3.8,0.3,18.7,171.4,10.9,334.4,2.3,-16,18.4,0.8,0.2,2.1,2.2,0.3,6.4,NA,Inf,-Inf,15,-11.3,37,16.9,-10.2,37.7,73.4,76,8784,0.438,Low (<80%)
BLBT,2025,8760,15.7,1,31,15.5,-17.8,38.1,43.8,4.7,100,476.4,0,2225.9,241.1,-11.8,1110.2,3.1,0,15.8,2,0,11.9,4.2,0.1,19.2,176.7,7.9,343.3,0.9,-25.9,20.5,0.8,0.1,2.4,2.1,0.2,6.7,NA,Inf,-Inf,14.5,-19,37.8,16.4,-17,38.6,334.6,177,8760,1,OK (>=90%)
BLBT,2026,5648,15.3,1,31,17.9,-8.9,39.4,39.3,5.3,100,527.4,0,2227.5,267.8,-10.4,1122.8,3.1,0.2,16.1,2,0,12.2,4.3,0.4,19.7,182.4,7.7,346.6,1.4,-16.4,20.5,0.8,0.2,2.4,2.5,0.3,7.2,NA,Inf,-Inf,17,-9.4,39,18.9,-8.5,39.9,55.7,66,8760,0.645,Low (<80%)
BRWL,2024,3851,16.4,1,31,16.1,-7.2,36.8,43,8.2,100,447.5,0,2154.7,124.7,-33.5,645,2.6,0,12.3,1.7,0,9.1,3.5,0,15.7,195.5,9.2,340.1,1.7,-20.3,17.7,0.8,0.1,2,2.2,0.4,6.2,NA,Inf,-Inf,15.3,-7.8,36.2,17,-6.8,38,73.7,80,8784,0.438,Low (<80%)
BRWL,2025,8760,15.7,1,31,15.9,-15.8,38.5,40.4,4.6,100,489.7,0,2327,140.6,-31.9,706.6,3,0.2,13.1,2,0,9.4,4.1,0.4,17,194,12.9,347,0,-24.9,18.2,0.7,0.1,2.1,2.1,0.2,6.8,NA,Inf,-Inf,15,-16.5,38,16.7,-15.6,39.9,112.2,128,8760,1,OK (>=90%)
BRWL,2026,5648,15.3,1,31,18.5,-6.7,39,35.7,4.7,100,544.9,0,2335.5,160,-30.7,710.2,3.2,0.2,13.1,2.1,0,9.7,4.4,0.4,16.9,195.2,10.7,344.7,0.6,-18.5,19.5,0.7,0.1,2.3,2.5,0.4,7,NA,Inf,-Inf,17.6,-7.2,38.8,19.4,-6.4,39.9,83.2,63,8760,0.645,Low (<80%)
BUWL,2024,3853,16.4,1,31,17.1,-5.8,36.3,40.3,9.8,100,445.6,0,2183.1,207.8,-12.9,1021.4,3.4,0.1,19.3,2.2,0,15.1,4.7,0.2,23.5,155.5,8.6,336.4,1.9,-16.1,17.3,0.8,0.2,2,2.3,0.4,6,648.8,594.8,755.7,16.3,-7.2,35.8,17.9,-5.1,36.7,99.5,73,8784,0.439,Low (<80%)
BUWL,2025,8760,15.7,1,31,16.5,-15.5,37.5,38.4,5.1,99.7,490.9,0,2465.1,230.1,-14.3,1146.9,3.7,0.1,17,2.5,0,12.8,5.1,0.2,21.4,163.2,9.4,341.7,0.2,-26.7,17.7,0.7,0.1,2,2.2,0.2,6.4,645.5,587.2,755.5,15.7,-16.7,37,17.2,-14.7,38.2,196.2,155,8760,1,OK (>=90%)
BUWL,2026,5647,15.3,1,31,18.7,-6.2,38.4,35.1,5,100,550.7,0,2358.4,257.3,-15.2,1095.2,3.7,0.2,21.5,2.4,0,15.6,5.1,0.5,26.5,165.4,10.3,341.6,0.9,-17.9,19,0.8,0.1,2.2,2.5,0.4,6.8,639.7,587.4,755.5,17.9,-6.7,38,19.5,-5.7,39.4,111.1,96,8760,0.645,Low (<80%)
CONT,2024,3851,16.4,1,31,16.3,-8,36.8,43.1,8.7,100,441,0,2253.8,216.2,-10.5,1044.8,2.4,0.1,10.9,1.5,0,7.8,3.5,0.1,14.6,166.1,8.2,347.3,1.9,-16.5,17.9,0.8,0.2,2,2.2,0.3,6.2,NA,Inf,-Inf,15.4,-9,36.2,17.1,-7.4,37.3,89.9,77,8784,0.438,Low (<80%)
CONT,2025,8760,15.7,1,31,15.8,-16.6,38.4,41,4.3,100,487.2,0,3368.7,239.1,-11.6,1134.9,2.7,0.1,12.9,1.7,0,8.7,3.9,0.1,16.9,171.3,6.2,340.2,0.2,-26.5,18.5,0.8,0.1,2.1,2.1,0.2,6.8,NA,Inf,-Inf,15,-17.3,38.1,16.6,-16.2,38.7,267.1,156,8760,1,OK (>=90%)
CONT,2026,5647,15.3,1,31,18.2,-8,39.2,36.8,4.4,100,546.3,0,2766.2,266.6,-13.8,1135.5,2.7,0.1,10.7,1.6,0,7.6,4,0.2,14.2,177.6,11.4,347.1,0.8,-17.8,19.5,0.8,0.2,2.3,2.5,0.3,7.1,NA,Inf,-Inf,17.4,-8.6,38.7,19.1,-7.2,39.6,108.9,79,8760,0.645,Low (<80%)
CRMT,2024,3852,16.4,1,31,15.1,-6.1,34.4,42.2,10.1,100,427.7,0,2164.4,208.9,-13.3,1051.6,1.9,0,6.7,0.7,0,3.8,3.4,0.1,11.4,209,28.3,332.1,0.6,-19.1,17.4,0.7,0.1,2,2,0.4,5.4,722.7,717.1,727.1,14.4,-6.4,33.9,15.8,-5.7,35,128.2,109,8784,0.439,Low (<80%)
CRMT,2025,8760,15.7,1,31,14.2,-18.2,34.8,42.3,5.1,100,471.3,0,2265.3,232.6,-15.2,1130.5,2,0,8.3,0.8,0,4.5,3.7,0.1,13,210.4,24.2,338.6,-0.8,-28.5,16.7,0.7,0.1,1.9,1.9,0.1,5.6,721.5,715.1,726.6,13.5,-19,34.2,14.8,-17.9,35.5,377.7,258,8760,1,OK (>=90%)
CRMT,2026,5647,15.3,1,31,16.5,-11.1,35.6,37.5,5.3,99.7,525.9,0,2309,260,-15.3,1145.3,2.1,0,7.5,0.8,0,4.4,3.8,0.1,11.7,214.3,27.8,336.2,-0.3,-20.7,18.8,0.7,0.1,2.2,2.2,0.3,5.8,721.7,715.3,726.4,15.8,-11.1,35.1,17.2,-11,36.5,170.6,137,8760,0.645,Low (<80%)
DPWL,2024,3852,16.4,1,31,15.7,-11.4,37,45.1,9,100,426.3,0,2056.2,217.5,-13.1,1036,2.8,0.2,13.4,1.9,0,9.9,3.8,0.3,17.8,172.2,10.4,337,1.8,-17,17.9,0.8,0.2,2,2.2,0.3,6.3,600.1,600,600.3,14.7,-11.8,36.7,16.6,-10.8,37.5,87.9,76,8784,0.439,Low (<80%)
DPWL,2025,8760,15.7,1,31,15.2,-17.6,38.1,42.8,4.7,100,461.3,0,2169.3,238,-16,1100.6,3.1,0.2,15.1,2,0,11.1,4.2,0.3,19.4,177,11.1,344,0.2,-26.6,19.3,0.8,0.1,2.2,2.1,0.2,6.7,600.1,600,600.3,14.3,-18.9,37.9,16.1,-15.2,38.4,289,165,8760,1,OK (>=90%)
DPWL,2026,5647,15.3,1,31,17.6,-9.2,38.7,38.6,4.9,99.8,509,0,2141.7,264.4,-12.5,1102.8,3.1,0.1,13.8,2,0,10.1,4.3,0.3,17.5,183.5,12,340.9,0.8,-17.3,19.9,0.8,0.2,2.3,2.4,0.3,6.9,600.1,600,600.3,16.6,-10.2,38.1,18.5,-8.9,39.8,119.7,76,8760,0.645,Low (<80%)
FSTN,2024,3853,16.4,1,31,16.8,-9.3,37.7,43.5,9.8,100,412.9,0,2032,53.4,-4.5,263.2,2,0,9.6,1.1,0,6.5,3.1,0,13.4,186.3,15.8,339.9,2.4,-19.1,18.4,0.8,0.1,2.1,2.3,0.3,6.5,600.1,600,600.3,15.9,-9.7,37.1,17.7,-9,38.6,55,55,8784,0.439,Low (<80%)
FSTN,2025,8760,15.7,1,31,16.5,-14.6,39.6,42.2,5,100,428.2,0,2056.4,55.6,-3.9,273.4,2.4,0,13.7,1.4,0,9.1,3.6,0.1,19,186.8,11.9,346.9,1.4,-24.3,18.4,0.8,0.1,2.1,2.3,0.2,7.2,600.1,600,600.3,15.6,-15.3,39.3,17.3,-14.1,40,144.3,127,8760,1,OK (>=90%)
FSTN,2026,5648,15.3,1,31,19.3,-7,39.9,36,4.4,100,502.4,0,2090.4,64.9,-3.4,273.5,2.6,0.1,13,1.5,0,9.1,3.9,0.1,16.7,191.8,14.5,344.7,1.3,-17.5,19.4,0.8,0.2,2.3,2.7,0.4,7.3,600.1,600,600.3,18.4,-7.7,39.3,20.2,-6.4,40.5,72.3,68,8760,0.645,Low (<80%)
FVPT,2024,3851,16.4,1,31,16.4,-7.3,36.7,42.8,8.7,100,440,0,2133,220.8,-11.2,1045.5,2.6,0.1,11.8,1.6,0,8.4,3.6,0.2,15.3,165.6,8.7,339.4,1.8,-16.8,17.8,0.8,0.2,2,2.2,0.4,6.2,NA,Inf,-Inf,15.5,-8.7,36.1,17.2,-6.7,37.4,86.6,73,8784,0.438,Low (<80%)
FVPT,2025,8760,15.7,1,31,15.9,-16.5,38.4,40.7,4.2,100,480.6,0,2260.5,242.3,-13.8,1143.8,2.9,0.1,13.6,1.8,0,9.6,4,0.3,17.9,172,8.5,350.8,0.2,-26.7,18.5,0.7,0.1,2.1,2.1,0.2,6.7,NA,Inf,-Inf,15,-17.1,37.9,16.7,-15.3,38.9,234.8,148,8760,1,OK (>=90%)
FVPT,2026,5647,15.3,1,31,18.3,-7.5,39,36.6,4.3,100,534.6,0,2233.5,269,-15.3,1116.1,2.9,0.1,12.2,1.8,0,8.8,4.1,0.2,15.5,177.1,5.3,339.8,0.8,-18,19.5,0.8,0.2,2.3,2.5,0.3,7,NA,Inf,-Inf,17.4,-8,38.6,19.1,-7.2,39.9,126.1,77,8760,0.645,Low (<80%)
GTDR,2024,3851,16.4,1,31,15.6,-5.3,35.4,42.8,9.8,100,423.9,0,2114.5,211.2,-11,1031.7,1.9,0.1,7.2,0.7,0,4.1,3.4,0.4,11.2,176.8,23.2,332,1.4,-17.5,17.7,0.8,0.2,2,2.1,0.4,5.8,NA,Inf,-Inf,14.9,-5.6,35,16.3,-4.8,36.1,125.4,92,8784,0.438,Low (<80%)
GTDR,2025,8760,15.7,1,31,14.9,-17.3,36.2,42.1,5.1,100,463.8,0,2263.1,232.1,-13.4,1107.4,2.1,0.1,10.1,0.8,0,5.1,3.7,0.3,15.7,174.5,16.6,323.3,-0.1,-27.5,17.7,0.7,0.1,2,2,0.2,6,NA,Inf,-Inf,14.2,-17.7,35.7,15.6,-16.4,36.8,310,225,8760,1,OK (>=90%)
GTDR,2026,5647,15.3,1,31,17.2,-9.5,37.1,37.6,5.5,100,515.6,0,2208.5,258.5,-15.1,1108,2.1,0,8.8,0.7,0,4.6,3.8,0,13.7,175.5,35.9,321.2,0.3,-19.4,18,0.7,0.1,2,2.3,0.3,6.3,NA,Inf,-Inf,16.5,-9.7,36.6,18,-9.3,37.6,161.3,116,8760,0.645,Low (<80%)
RIOS,2024,3852,16.4,1,31,17,-6.8,37.3,41.5,8,100,433.7,0,2096.5,218,-11.4,1025.2,2.5,0.1,10.4,1.5,0,7.7,3.5,0.2,13.9,202.7,21.8,338.4,2,-20.6,18.4,0.8,0.1,2.1,2.3,0.4,6.4,NA,Inf,-Inf,16.2,-7.4,36.8,17.8,-6.2,38,79.8,71,8784,0.439,Low (<80%)
RIOS,2025,8760,15.7,1,31,16.6,-15.6,38.9,39.6,4.5,100,472.2,0,2297.9,239.8,-11.6,1142.3,2.9,0.1,13.3,1.8,0,9.3,4,0.2,18.3,198.2,26.4,345.8,0.4,-24.1,18.4,0.8,0.1,2.1,2.2,0.2,7,NA,Inf,-Inf,15.8,-16.1,38.3,17.4,-15.3,39.4,192.2,149,8760,1,OK (>=90%)
RIOS,2026,5648,15.3,1,31,19.3,-6.6,39.8,35,4.6,100,529.4,0,3938.9,268.6,-10.8,1129.2,3.1,0.1,11.8,1.9,0,8.2,4.3,0.3,15.8,202.5,17.1,351.8,0.9,-17.4,20,0.8,0.2,2.3,2.6,0.4,7.3,NA,Inf,-Inf,18.5,-7.1,39.3,20.1,-6,40.4,76.1,83,8760,0.645,Low (<80%)
SEPU,2024,3810,16.3,1,31,15.3,-6.5,35.4,43.2,9.1,99.9,432,0,2142.7,210.7,-13.2,1032.7,1.8,0,8.9,0.8,0,5.4,3,0.1,12.4,162,18.2,324.4,1.2,-17.7,16.5,0.8,0.2,1.9,2,0.4,5.8,NA,Inf,-Inf,14.5,-8.4,35,16.1,-5.3,36.1,149.8,87,8784,0.434,Low (<80%)
SEPU,2025,8760,15.7,1,31,14.6,-19.5,36.7,42.2,4.4,100,475.3,0,2249.1,234.5,-14.4,1127,2,0,11.5,0.9,0,6.6,3.3,0.1,16.2,166.7,19.9,329.2,-0.4,-28,17.7,0.7,0.1,2,2,0.1,6.2,NA,Inf,-Inf,13.8,-21,36.2,15.4,-17.6,37.3,322.9,201,8760,1,OK (>=90%)
SEPU,2026,5645,15.3,1,31,17,-9.1,37.8,37.6,4.6,99.3,527.5,0,2194.7,261.7,-13.1,1105.8,2,0,9.4,0.9,0,6,3.5,0,13.1,175.6,25.1,327.4,0,-20.6,19,0.7,0.1,2.2,2.3,0.3,6.6,NA,Inf,-Inf,16.1,-9.3,37.2,17.9,-9,38.4,96.7,82,8760,0.644,Low (<80%)
SOGT,2024,3851,16.4,1,31,15.8,-11.4,37.5,44,9.5,97.7,440.6,0,2155.1,217.6,-12.1,1050.7,2.6,0,13.1,1.6,0,9.9,3.6,0,16.9,156.7,10.9,346.7,1.6,-17.9,17.3,0.8,0.2,2,2.2,0.3,6.4,NA,Inf,-Inf,14.8,-12.2,37.1,16.8,-11.1,38,89.7,72,8784,0.438,Low (<80%)
SOGT,2025,8760,15.7,1,31,15.3,-19.3,38.5,41.5,5.5,99,477.5,0,2261.3,240.7,-15.2,1113.7,3,0,14.9,1.9,0,11.1,4.2,0.1,19.3,162.5,9.7,342.6,-0.1,-27.6,18.2,0.7,0.1,2.1,2.1,0.1,6.8,NA,Inf,-Inf,14.3,-20.1,38.1,16.4,-18.5,39.1,184.6,159,8760,1,OK (>=90%)
SOGT,2026,5648,15.3,1,31,17.9,-9.4,39.4,37.7,5.5,96.5,525.5,0,2240.5,266,-12.6,1137,3.1,0,13.1,1.9,0,9.3,4.3,0,17.5,169.8,9.5,339.4,0.7,-17.3,19.1,0.8,0.2,2.2,2.5,0.3,7.1,NA,Inf,-Inf,16.9,-10.3,38.8,18.9,-8.7,40,93.7,77,8760,0.645,Low (<80%)
TSWL,2024,3831,16.3,1,31,15.4,-11.4,36.1,45.6,8.9,100,432.6,0,2138,215.7,-12.6,1065.3,3,0.2,16.8,2,0,12.4,4.2,0.3,20.4,165.3,16.6,338.9,1.8,-16.7,17.6,0.8,0.2,2,2.1,0.3,6,NA,Inf,-Inf,14.5,-11.9,35.8,16.4,-10.7,36.6,114.5,77,8784,0.436,Low (<80%)
TSWL,2025,8760,15.7,1,31,15.1,-18.5,37.7,42.4,4.4,99.9,470.3,0,2173.2,238.9,-10,1142.4,3.5,0.1,17,2.3,0,12.8,4.8,0.3,21.4,172,14.9,341.3,0,-26.9,18.1,0.7,0.1,2.1,2,0.1,6.5,NA,Inf,-Inf,14.1,-20.3,37.2,15.9,-17.5,38.4,239.4,158,8760,1,OK (>=90%)
TSWL,2026,5648,15.3,1,31,17.4,-8.6,38.2,38.5,4.3,100,524.5,0,2229.5,266.8,-10.2,1143.2,3.5,0,17.5,2.3,0,12.3,4.9,0,23.5,178,7.7,344.2,0.6,-18,19.8,0.7,0.2,2.3,2.4,0.3,6.7,NA,Inf,-Inf,16.4,-9.7,37.8,18.3,-8,38.8,94.9,74,8760,0.645,Low (<80%)
TUWL,2024,3852,16.4,1,31,16.2,-7.5,35.5,40.3,8.3,100,434.6,0,2154.2,213.3,-12.7,1046.7,2.5,0.2,10.9,1.4,0,7.2,3.6,0.5,15.9,182.1,21.7,318,1.1,-21.3,17,0.8,0.1,1.9,2.2,0.3,5.8,788.6,783.2,794.5,15.4,-7.8,35,17,-7.3,36.3,98.6,92,8784,0.439,Low (<80%)
TUWL,2025,8760,15.7,1,31,15.8,-12.8,37.2,38.5,4.2,100,476.6,0,2359.4,234.9,-16.2,1148.2,2.8,0.1,12.7,1.6,0,8.5,4.1,0.4,17.4,182.8,23.8,322.8,-0.7,-25.3,16.6,0.7,0.1,1.9,2.1,0.2,6.3,787.5,782.3,795,15,-14.2,36.9,16.5,-12.1,38.1,189.9,162,8760,1,OK (>=90%)
TUWL,2026,5648,15.3,1,31,18.4,-6.9,37.7,33.7,4.7,100,537.3,0,2343.4,262.2,-10.1,1113.8,3,0,12.1,1.7,0,8.7,4.5,0,16,185.5,20.2,319.2,-0.1,-20.7,18,0.7,0.1,2.1,2.5,0.4,6.5,786.8,781.4,793.2,17.6,-7.2,37.1,19.1,-6.6,38.5,74.8,85,8760,0.645,Low (<80%)
