station,date,year,month,day,precip_mm_day,coverage,quality_flag,variable,mean,min,max
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),day,24,24,24
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),airTemp_Avg,27.3,20.3,33.5
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),rh,43.6,24.4,76.9
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),parDen_Avg,475.2,0,1700.2
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),swRadIn_Avg,241.2,-7.1,858.6
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),windSpd_Avg,4.4,1.4,8.4
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),windSpd_Min,2.9,0.3,6.1
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),windSpd_Max,6,2.6,10.6
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),windDir,182.7,135.2,269.2
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),dewPt_Avg,12.4,10.2,16.2
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),vPress,1.5,1.2,1.8
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),vPressSat,3.7,2.4,5.2
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),airTemp_Min,26.3,19.6,32.8
BLBT,2024-07-24,2024,7,24,1.3,0.417,Low (<80%),airTemp_Max,28.5,21.1,34.1
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),day,25,25,25
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),airTemp_Avg,25.6,17.5,34.4
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),rh,54.2,23.5,91.9
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),parDen_Avg,688.3,0,2021.1
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),swRadIn_Avg,342,-9.8,997.1
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),windSpd_Avg,2.4,0.8,8.1
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),windSpd_Min,1.4,0.1,5.7
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),windSpd_Max,3.5,1.2,10.4
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),windDir,194.9,114.8,295.7
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),dewPt_Avg,14,10.4,17
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),vPress,1.6,1.3,1.9
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),vPressSat,3.4,2,5.4
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),airTemp_Min,24.8,17.2,34.1
BLBT,2024-07-25,2024,7,25,0,1,OK (>=90%),airTemp_Max,26.4,17.6,34.7
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),day,26,26,26
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),airTemp_Avg,25.1,17.8,33.6
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),rh,55.2,24.9,84.6
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),parDen_Avg,669.2,0,2077.6
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),swRadIn_Avg,328.1,-9.9,1020.8
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),windSpd_Avg,2.5,0.7,6.6
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),windSpd_Min,1.4,0.3,4.5
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),windSpd_Max,3.6,0.9,8.8
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),windDir,190.8,80.8,268.7
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),dewPt_Avg,14,10.5,17.1
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),vPress,1.6,1.3,2
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),vPressSat,3.3,2,5.2
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),airTemp_Min,24.4,17.4,33.4
BLBT,2024-07-26,2024,7,26,3.6,1,OK (>=90%),airTemp_Max,25.9,18.3,33.9
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),day,27,27,27
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),airTemp_Avg,24.9,17.3,32.5
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),rh,58.7,30.2,95.2
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),parDen_Avg,682.7,0,2083.7
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),swRadIn_Avg,331.8,-9.7,1016.5
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),windSpd_Avg,2,0.6,4.1
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),windSpd_Min,1.1,0.1,2.9
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),windSpd_Max,2.9,1.2,5.6
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),windDir,161.1,45.7,261.4
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),dewPt_Avg,15.1,12.7,17.2
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),vPress,1.7,1.5,2
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),vPressSat,3.3,2,4.9
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),airTemp_Min,24.3,17.1,32
BLBT,2024-07-27,2024,7,27,0,1,OK (>=90%),airTemp_Max,25.6,17.5,33
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),day,28,28,28
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),airTemp_Avg,27.9,21,34.8
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),rh,43,23.1,72.5
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),parDen_Avg,652.2,0,2098.2
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),swRadIn_Avg,319.1,-3.5,1028.4
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),windSpd_Avg,2.5,0.8,4.9
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),windSpd_Min,1.5,0.3,3.5
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),windSpd_Max,3.6,1.3,6.4
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),windDir,181.8,20.8,296
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),dewPt_Avg,13.2,10.6,16.1
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),vPress,1.5,1.3,1.8
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),vPressSat,3.9,2.5,5.6
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),airTemp_Min,27.2,20.6,34.1
BLBT,2024-07-28,2024,7,28,0,1,OK (>=90%),airTemp_Max,28.6,21.6,35.2
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),day,29,29,29
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),airTemp_Avg,26.8,20.1,35.1
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),rh,43.6,22.7,64.8
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),parDen_Avg,608.4,0,2070.4
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),swRadIn_Avg,296.4,-3.9,1019.5
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),windSpd_Avg,2.5,0.6,5.3
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),windSpd_Min,1.5,0.1,3.6
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),windSpd_Max,3.6,1.3,6.9
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),windDir,199.5,101.1,278.3
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),dewPt_Avg,12.3,9.9,14.5
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),vPress,1.4,1.2,1.6
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),vPressSat,3.7,2.4,5.7
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),airTemp_Min,26.1,19.8,34.8
BLBT,2024-07-29,2024,7,29,0,1,OK (>=90%),airTemp_Max,27.6,20.4,35.3
BLBT,2024-07-30,2024,7,30,0,1,OK (>=90%),day,30,30,30
BLBT,2024-07-30,2024,7,30,0,1,OK (>=90%),airTemp_Avg,27.8,17.5,35.5
BLBT,2024-07-30,2024,7,30,0,1,OK (>=90%),rh,41.2,20.5,75.5
BLBT,2024-07-30,2024,7,30,0,1,OK (>=90%),parDen_Avg,674.1,0,2071.7
BLBT,2024-07-30,2024,7,30,0,1,OK (>=90%),swRadIn_Avg,331.1,-3.7,1018.8
BLBT,2024-07-30,2024,7,30,0,1,OK (>=90%),windSpd_Avg,1.9,0.8,3.5
